product_name,series,skus,section,detail,anwendung,material,suitability
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Technische Details,Eine vollständig negative oder gerade DP-Schneide,,,
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Technische Details,"Körper aus Wolframcarbid mit einer Härte von 93,8 HRA",,,
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Technische Details,"Kann nachgeschärft werden: H2,5 (2–3 Schärfungen), H3 (3–4 Schärfungen)",,,
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Technische Details,Laser-Abtragungsschärfverfahren,,,
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Anwendung,,Fräsen,,
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Anwendung,,Fügen,,
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Anwendung,,Falzen,,
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Anwendung,,Nuten,,
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Material,,,Rohe MDF,3 out of 3
Diamant Fräser Z1 DT1,DT1,DT1.04.012.06.0MR | DT1.05.010.06.0MR | DT1.05.020.06.0MR | DT1.06.012.06.0MR | DT1.06.012.08.0MR | DT1.06.012.10.0MR | DT1.06.020.06.0MR | DT1.06.022.12.0MR | DT1.06.012.06.5MR2 | DT1.08.015.08.0MR | DT1.08.020.08.0MR | DT1.08.023.12.0MR | DT1.10.015.10.0MR | DT1.12.020.12.0MR,Material,,,Rohe Spanplatte,3 out of 3
